budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
150000000,"Animation, Adventure, Family, Comedy",https://movies.disney.com/moana-2,1241982,"sea, ocean, villain, musical, sequel, duringcreditsstinger, absurd",en,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",3664.907,"Walt Disney Pictures, Walt Disney Animation Studios, Walt Disney Animation Studios","CA, US",2024-11-21,1044396565,99,en,Released,The ocean is calling them back.,Moana 2,7.2,1536
21000000,"Action, Drama, Adventure, War",,927342,"based on novel or book, affectation, based on true story, martyr, indian army, counterterrorism, loving, 2010s, indian history, admiring, hopeful, based on real person, ashoka chakra, indian military",ta,அமரன்,"A heroic true story of Major Mukund Varadarajan, an Indian Army officer who displayed extraordinary bravery during a counterterrorism mission in Kashmir’s Shopian district. The film captures his courage in protecting his nation and the devotion of his wife Indhu Rebecaa Varghese.",2763.388,"Raajkamal Films International, Sony Pictures International Productions",IN,2024-10-31,0,169,ta,Released,"There lived a man, who never feigned to be a hero…",Amaran,8.167,105
180000000,"Action, Thriller, Science Fiction",https://www.marvel.com/movies/captain-america-brave-new-world,822119,"hero, superhero, revenge, blunt, aftercreditsstinger, marvel cinematic universe (mcu), sidekick, assassination attempt, political thriller, treaty, international relations, admiring, excited",en,Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",2666.301,"Marvel Studios, Kevin Feige Productions",US,2025-02-12,192400000,119,"en, ja, es",Released,The future favors the brave.,Captain America: Brave New World,6.2,483
122000000,"Action, Science Fiction, Comedy, Family",https://www.sonicthehedgehogmovie.com,939243,"moon, sequel, based on video game, burlesque, dual role, aftercreditsstinger, duringcreditsstinger, hedgehog, live action and animation, grandfather grandson relationship, animal human friendship, anthropomorphic animal, loss and grief, amused, cliché, complicated, joyful, sceptical, sonic cinematic universe, sonic adventure 2",en,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",2651.118,"Paramount Pictures, Original Film, Marza Animation Planet, SEGA, Blur Studio, SEGA of America","US, JP",2024-12-19,472518457,110,en,Released,New adventure. New rival.,Sonic the Hedgehog 3,7.777,1843
0,"Action, Comedy",,1160956,"assistant, zoo, panda, superstar, rescue operation, cliché, international superstar",zh,熊猫计划,"International action star Jackie Chan is invited to the adoption ceremony of a rare baby panda, but after an international crime syndicate attempts to kidnap the bear, Jackie has to save the bear using his stunt work skills.",1949.941,"Emei Film Studio, Mandarin Motion Pictures, Maoyan Entertainment, Wishart Media",CN,2024-10-01,42333207,99,"ar, zh, en",Released,,Panda Plan,7.277,110
120000000,"Action, Adventure, Thriller",https://www.kravenmovie.com,539972,"hunter, superhero, villain, based on comic, supervillain, antihero, intense",en,Kraven the Hunter,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",1398.29,"Columbia Pictures, Matt Tolmach Productions, Arad Productions",US,2024-12-11,59184643,127,"en, ru, tr",Released,Villains aren't born. They're made.,Kraven the Hunter,6.677,1232
200000000,"Adventure, Family, Animation",https://movies.disney.com/mufasa-the-lion-king,762509,"friendship, paradise, lion, musical, prequel, jungle, told in flashback, betrayal by friend, chance meeting, live action remake, found family, loving, lost, inspirational, bold, disgusted, hopeful",en,Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",1539.5,Walt Disney Pictures,US,2024-12-18,673114994,118,en,Released,The story of an orphan who would be king.,Mufasa: The Lion King,7.5,1055
0,"Action, Crime, Thriller",,1138749,,en,The Island,"When his brother is killed, LAPD officer Mark leaves the city to return to the island he grew up on. Seeking answers and ultimately vengeance, he soon finds himself in a bloody battle with the corrupt tycoon who's taken over the island paradise.",1139.977,MSR Media SKN,KN,2023-07-21,39773,93,en,Released,,The Island,6.2,54
20000000,"Action, Crime, Thriller",,1249289,,en,Alarum,"Two married spies caught in the crosshairs of an international intelligence network will stop at nothing to obtain a critical asset. Joe and Lara are agents living off the grid whose quiet retreat at a winter resort is blown to shreds when members of the old guard suspect the two may have joined an elite team of rogue spies, known as Alarum.",1084.884,"BondIt Media Capital, Buffalo 8 Productions, Convergence Entertainment, Highland Film Group, Signature Entertainment, Dream Team Films",US,2025-01-16,0,95,en,Released,One hell of a vacation.,Alarum,5.834,199
310000000,"Action, Adventure, Drama",https://www.gladiator.movie,558449,"epic, gladiator, roman empire, ancient rome, sequel, evil tyrant, sword and sandal, sword fighting, second part",en,Gladiator II,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",876.395,"Paramount Pictures, Scott Free Productions, Lucy Fisher/Douglas Wick Productions",US,2024-11-05,458718000,148,en,Released,Prepare to be entertained.,Gladiator II,6.8,2809
